Vendor,Category,Item,Price,Origin
PharmaDirect770,Drugs/Prescription/Tramadol,Grade-A Tramadol 14ct,2.335172 BTC,Worldwide
PharmaDirect647,Drugs/Cannabis/Hash,Quality Tested Items 10ct,2.516964 BTC,USA/Europe
UltraMarket470,Drugs/Dissociatives/Ketamine,Research Grade Premium Ketamine 50g,2.093238 BTC,Germany
AlphaKing870,Drugs/Dissociatives/Ketamine,Research Grade Verified Ketamine 2g,2.489502 BTC,Switzerland
SilentMarket838,Drugs/Cannabis/Edibles,Quality Quality Items 500ct,2.651661 BTC,USA/Europe
QuickMaster491,Drugs/Cannabis/Hash,Quality Quality Items 5ct,1.247545 BTC,France
KingBoss990,Drugs/Ecstasy/Pills,Blue Grade-A Press 14ct,9.746206 BTC,USA
SwiftDealer556,Drugs/Prescription/Xanax,Pressed Verified Xanax 250ct,2.915339 BTC,No Info
AlphaDirect701,Drugs/Psychedelics/DMT,Pure Spice 14g,0.776229 BTC,Spain
DarkBoss582,Drugs/Ecstasy/Pills,Verified Ecstasy Tabs 25ct,3.78958 BTC,France
AlphaKing463,Drugs/Psychedelics/LSD,Pure LSD Blotters 28ct,3.314126 BTC,USA
BlackExpert873,Drugs/Cannabis/Hash,Quality Quality Items 250ct,7.140721 BTC,Switzerland
SecureBoss844,Drugs/Psychedelics/LSD,Grade-A LSD Blotters 14ct,1.275306 BTC,Europe
SwiftExpert794,Drugs/Prescription/Tramadol,Generic Pure Ultram 2ct,1.304012 BTC,Spain
EliteDealer235,Drugs/Opioids/Heroin,Tested Heroin 7g,2.361731 BTC,Netherlands
StealthPro162,Drugs/Psychedelics/Mushrooms,Dried Quality Shrooms 10g,5.567445 BTC,Germany
SilentPro922,Drugs/Cannabis/Weed,Quality Quantity 10g,2.663705 BTC,No Info
SilentMaster997,Drugs/Stimulants/Cocaine,High Purity Pure Cocaine 500g,1.247395 BTC,Czech Republic
OmegaKing43,Drugs/Opioids/Oxycodone,Quality Percs 10ct,2.786375 BTC,Canada
QuickDealer552,Drugs/Prescription/Xanax,Authentic Quality Xanax 5ct,3.907569 BTC,Spain
PureVendor480,Drugs/Prescription/Xanax,Authentic Verified Xanax 100ct,1.039999 BTC,UK
VenomSource928,Drugs/Opioids/Heroin,High Quality Lab Heroin 2g,0.824727 BTC,Spain
AlphaDealer746,Drugs/Dissociatives/Ketamine,Verified K Powder 7g,3.796487 BTC,Belgium
PureStore440,Drugs/Psychedelics/LSD,High-Dose Grade-A Tabs 250ct,1.991997 BTC,No Info
DarkBoss582,Drugs/Cannabis/Weed,Quality Pure Items 100ct,6.30727 BTC,China
VenomMarket709,Drugs/Cannabis/Weed,Lab Quantity 14g,8.925076 BTC,Belgium
CryptoLab868,Drugs/Stimulants/Speed,Crystal Pure Speed 10g,2.731564 BTC,Netherlands
SpeedMarket271,Drugs/Cannabis/Hash,Quality Verified Items 500ct,0.718877 BTC,Australia
AlphaKing463,Drugs/Opioids/Fentanyl,Verified Fentanyl Powder 10g,0.8418 BTC,Belgium
ShadowVendor954,Drugs/Cannabis/Edibles,Quality Quantity 2g,0.948646 BTC,USA/Europe
AlphaStore132,Drugs/Opioids/Heroin,High Quality Verified Heroin 28g,3.514333 BTC,UK
BlueStore943,Drugs/Prescription/Xanax,Grade-A Benzo 1ct,2.786092 BTC,France
SilentMarket838,Drugs/Dissociatives/Ketamine,Grade-A K Powder 250g,0.76148 BTC,Australia
QuickDirect928,Drugs/Cannabis/Weed,Quality Tested Items 28ct,1.416589 BTC,Netherlands
PharmaExpert186,Digital/Hacking,Hacked Tested Account,1.930451 BTC,Poland
SwiftKing346,Drugs/Stimulants/Meth,Tested Methamphetamine 250g,2.84722 BTC,Switzerland
AlphaStore878,Drugs/Psychedelics/DMT,Quality Spice 100g,2.947972 BTC,USA
PharmaBoss522,Drugs/Stimulants/Speed,Crystal Grade-A Speed 10g,7.379677 BTC,Poland
StealthPro162,Drugs/Opioids/Fentanyl,Premium Fentanyl Powder 25g,2.433426 BTC,Australia
QuickDealer552,Drugs/Opioids/Oxycodone,Grade-A Percs 1ct,0.449843 BTC,Worldwide
SpeedMarket529,Fraud/Documents,Fake Quality ID,2.287137 BTC,Europe
VenomMarket709,Drugs/Opioids/Fentanyl,Lab Fentanyl Powder 7g,1.192824 BTC,China
SilentMaster997,Fraud/Documents,Tested License Replica,2.846144 BTC,Europe
ShadowDealer416,Drugs/Dissociatives/Ketamine,Pure K Powder 10g,4.612288 BTC,Germany
SpeedVendor287,Drugs/Dissociatives/Ketamine,Lab K Powder 10g,2.388164 BTC,Canada
VenomSource928,Drugs/Prescription/Adderall,Grade-A Amphetamine Salts 25ct,1.268099 BTC,No Info
EliteDealer235,Digital/Hacking,Hacked Quality Account,2.188356 BTC,No Info
SpeedShop481,Drugs/Prescription/Tramadol,Premium Tramadol 25ct,2.783733 BTC,Netherlands
UltraLab266,Drugs/Psychedelics/LSD,Premium Liquid LSD 50ml,5.773981 BTC,India
QuickKing639,Drugs/Ecstasy/MDMA,Pure Premium Molly 100g,1.765606 BTC,Belgium
PureMarket96,Drugs/Psychedelics/Mushrooms,Quality Cubensis 250g,5.390679 BTC,UK
BlueKing295,Digital/Hacking,Lab Fullz,4.629752 BTC,UK
AlphaDirect701,Fraud/Documents,Lab License Replica,1.951753 BTC,Poland
AlphaVendor354,Drugs/Cannabis/Edibles,Premium Quality Product 50g,3.046006 BTC,Switzerland
QuickSource60,Drugs/Prescription/Xanax,Authentic Verified Xanax 14ct,4.21043 BTC,France
RedMarket810,Drugs/Cannabis/Edibles,Quality Grade-A Items 250ct,1.944671 BTC,Belgium
ShadowVendor954,Drugs/Ecstasy/MDMA,Crystal Premium MDMA 14g,3.075472 BTC,France
SilentPro922,Drugs/Cannabis/Edibles,Quality Premium Items 1ct,0.471727 BTC,USA
SpeedDealer285,Drugs/Psychedelics/LSD,Pure LSD Blotters 7ct,3.690382 BTC,Canada
StealthPro162,Drugs/Prescription/Tramadol,Generic Pure Ultram 5ct,4.037658 BTC,No Info
QuickMaster491,Drugs/Stimulants/Cocaine,Tested Blow 250g,2.579796 BTC,Worldwide
SilentMaster997,Drugs/Cannabis/Hash,Premium Quantity 28g,3.755228 BTC,No Info
DarkBoss582,Drugs/Stimulants/Speed,Crystal Verified Speed 2g,4.360529 BTC,No Info
SilentBoss239,Drugs/Stimulants/Meth,Premium Tested Meth 2g,2.50903 BTC,China
ShadowVendor173,Drugs/Cannabis/Weed,Quality Tested Items 10ct,1.496707 BTC,Canada
AlphaStore132,Drugs/Cannabis/Edibles,Quality Grade-A Items 2ct,2.903805 BTC,Worldwide
UltraKing555,Drugs/Stimulants/Cocaine,Grade-A Blow 1g,3.868595 BTC,Czech Republic
PureVendor480,Drugs/Cannabis/Weed,Quality Tested Items 5ct,4.473213 BTC,USA
DeltaMarket543,Drugs/Opioids/Oxycodone,Grade-A Percs 50ct,3.473583 BTC,Netherlands
SpeedMarket271,Drugs/Ecstasy/Pills,Premium MDMA Pressed Pills 1ct,1.066481 BTC,Europe
DeltaStore687,Drugs/Cannabis/Hash,Quality Quantity 7g,2.115295 BTC,USA
StealthVendor191,Drugs/Stimulants/Speed,Verified Speed Paste 5g,2.458179 BTC,China
StealthPro162,Drugs/Opioids/Fentanyl,Premium Fentanyl Powder 14g,0.904363 BTC,Switzerland
SwiftKing346,Drugs/Psychedelics/DMT,Extracted Grade-A DMT 28g,5.427875 BTC,France
PharmaSource204,Drugs/Prescription/Adderall,Quality Amphetamine Salts 100ct,3.755419 BTC,China
OmegaDirect105,Digital/Hacking,Compromised Quality Database,2.297645 BTC,France
VenomSource815,Fraud/Documents,Quality License Replica,0.470967 BTC,France
PureMarket224,Drugs/Prescription/Tramadol,Grade-A Tramadol 5ct,0.749564 BTC,Germany
GhostLab755,Drugs/Psychedelics/Mushrooms,Quality Cubensis 7g,3.370802 BTC,Belgium
BlackExpert873,Drugs/Stimulants/Meth,Premium Quality Meth 500g,2.40145 BTC,Europe
SecureBoss844,Drugs/Prescription/Xanax,Pressed Tested Xanax 25ct,0.736031 BTC,France
SwiftDealer556,Drugs/Prescription/Xanax,Pressed Tested Xanax 1ct,3.845775 BTC,Netherlands
SpeedDealer285,Drugs/Psychedelics/LSD,High-Dose Quality Tabs 2ct,2.05204 BTC,France
PharmaDirect770,Drugs/Psychedelics/DMT,Quality Spice 5g,3.861917 BTC,Belgium
SilentMaster955,Drugs/Stimulants/Meth,Lab Methamphetamine 14g,6.12057 BTC,Spain
SilentMarket838,Drugs/Psychedelics/Mushrooms,Psilocybin Grade-A Mushrooms 5g,0.890481 BTC,Czech Republic
GhostLab755,Drugs/Cannabis/Hash,Premium Lab Product 7g,2.080575 BTC,Australia
GreenMarket125,Drugs/Stimulants/Cocaine,Fishscale Verified Coke 10g,4.075001 BTC,India
SilentMaster955,Drugs/Cannabis/Hash,Tested Quantity 14g,0.507808 BTC,Spain
UltraLab620,Drugs/Psychedelics/LSD,High-Dose Lab Tabs 10ct,3.201998 BTC,No Info
StealthVendor191,Drugs/Ecstasy/Pills,Blue Lab Press 10ct,2.28188 BTC,UK
UltraMarket470,Drugs/Cannabis/Weed,Verified Quantity 10g,3.882918 BTC,Europe
DarkExpert536,Drugs/Prescription/Adderall,Authentic Premium Adderall 2ct,3.473848 BTC,Switzerland
AlphaMaster277,Drugs/Cannabis/Weed,Quality Verified Items 250ct,2.154598 BTC,Canada
EliteMaster689,Drugs/Psychedelics/Mushrooms,Psilocybin Pure Mushrooms 500g,5.143525 BTC,Spain
QuickSource60,Drugs/Prescription/Adderall,Authentic Tested Adderall 2ct,1.129644 BTC,Canada
RedMarket810,Digital/Hacking,Hacked Pure Account,8.612693 BTC,Worldwide
PharmaBoss522,Drugs/Stimulants/Cocaine,Grade-A Blow 2g,3.673896 BTC,China
EliteShop410,Fraud/Documents,Counterfeit Pure Passport,2.953994 BTC,Czech Republic
SwiftStore884,Drugs/Ecstasy/MDMA,Crystal Premium MDMA 28g,4.173187 BTC,Germany
KingKing458,Drugs/Ecstasy/Pills,Quality MDMA Pressed Pills 14ct,3.823128 BTC,India
BlueStore78,Drugs/Stimulants/Speed,Crystal Lab Speed 10g,1.811948 BTC,Netherlands
UltraVendor891,Drugs/Dissociatives/Ketamine,Pure K Powder 100g,2.931144 BTC,France
GhostLab755,Drugs/Stimulants/Speed,Crystal Grade-A Speed 50g,2.595007 BTC,France
VenomLab764,Drugs/Psychedelics/LSD,Grade-A LSD Blotters 5ct,5.433383 BTC,China
UltraVendor891,Drugs/Stimulants/Cocaine,High Purity Premium Cocaine 250g,5.138226 BTC,Netherlands
EliteShop410,Drugs/Cannabis/Hash,Quality Quantity 7g,4.685379 BTC,Australia
DarkBoss582,Digital/Hacking,Premium Fullz,3.178004 BTC,Canada
SpeedShop526,Drugs/Prescription/Xanax,Authentic Grade-A Xanax 14ct,1.866315 BTC,Czech Republic
QuickDealer552,Drugs/Stimulants/Cocaine,Premium Blow 28g,2.261969 BTC,No Info
SwiftExpert794,Drugs/Stimulants/Cocaine,Premium Blow 500g,0.868867 BTC,USA/Europe
DarkBoss582,Drugs/Opioids/Oxycodone,Grade-A Percs 1ct,4.171215 BTC,Poland
OmegaDirect105,Fraud/Documents,Fake Lab ID,2.13024 BTC,USA
UltraLab620,Drugs/Ecstasy/Pills,Verified MDMA Pressed Pills 7ct,1.921722 BTC,Spain
BlackExpert873,Drugs/Prescription/Xanax,Authentic Pure Xanax 25ct,3.290904 BTC,Spain
AlphaDirect701,Drugs/Stimulants/Meth,Premium Verified Meth 14g,2.989813 BTC,Switzerland
ShadowDealer416,Drugs/Psychedelics/DMT,Extracted Verified DMT 10g,5.041243 BTC,France
CryptoLab868,Drugs/Stimulants/Speed,Quality Premium Amphetamine 250g,4.35639 BTC,Belgium
VenomVendor269,Drugs/Stimulants/Cocaine,Pure Blow 25g,5.872442 BTC,Germany
KingBoss990,Digital/Hacking,Grade-A Fullz,7.879347 BTC,Europe
StealthVendor191,Drugs/Opioids/Heroin,Premium Heroin 1g,1.318418 BTC,Australia
BlueKing295,Drugs/Psychedelics/Mushrooms,Premium Cubensis 5g,1.063719 BTC,Czech Republic
BluePro475,Drugs/Opioids/Oxycodone,Quality Percs 50ct,2.672954 BTC,UK
PureMarket96,Digital/Hacking,Hacked Pure Account,3.349067 BTC,Belgium
PharmaExpert186,Drugs/Prescription/Xanax,Pressed Tested Xanax 28ct,1.918316 BTC,USA
UltraKing555,Drugs/Cannabis/Weed,Quality Tested Items 250ct,0.330047 BTC,China
UltraVendor891,Drugs/Dissociatives/Ketamine,Verified K Powder 14g,2.159741 BTC,Poland
UltraVendor891,Drugs/Psychedelics/DMT,Lab Spice 25g,3.99162 BTC,Poland
QuickSource60,Drugs/Ecstasy/Pills,Lab MDMA Pressed Pills 5ct,1.424387 BTC,Switzerland
EliteDealer235,Drugs/Psychedelics/Mushrooms,Psilocybin Pure Mushrooms 50g,3.482688 BTC,Belgium
EliteShop410,Drugs/Opioids/Fentanyl,Pure Fentanyl Powder 250g,0.799269 BTC,Europe
RedMarket810,Drugs/Prescription/Tramadol,Generic Grade-A Ultram 28ct,2.978103 BTC,Australia
BlueStore943,Drugs/Prescription/Xanax,Quality Benzo 28ct,3.234065 BTC,UK
CryptoDirect666,Drugs/Stimulants/Cocaine,High Purity Quality Cocaine 1g,6.712053 BTC,Germany
SilentPro922,Drugs/Cannabis/Hash,Quality Pure Items 28ct,0.496542 BTC,Poland
BluePro475,Drugs/Ecstasy/MDMA,Pure Tested Molly 250g,0.568951 BTC,Australia
EliteDealer235,Fraud/Documents,Grade-A License Replica,1.531918 BTC,China
AlphaStore95,Drugs/Stimulants/Cocaine,High Purity Premium Cocaine 14g,5.298263 BTC,Worldwide
SpeedShop481,Drugs/Psychedelics/LSD,Tested LSD Blotters 5ct,4.18279 BTC,USA/Europe
PharmaSource313,Drugs/Opioids/Fentanyl,Grade-A Fentanyl Powder 5g,5.656617 BTC,France
SpeedMarket529,Drugs/Dissociatives/Ketamine,Research Grade Premium Ketamine 5g,3.695711 BTC,No Info
SpeedVendor287,Drugs/Psychedelics/DMT,Premium Spice 250g,3.295709 BTC,Canada
SilentMaster955,Drugs/Stimulants/Meth,Tested Methamphetamine 250g,0.49132 BTC,Worldwide
VenomVendor269,Drugs/Cannabis/Weed,Premium Grade-A Product 500g,1.496761 BTC,Worldwide
SilentVendor726,Drugs/Stimulants/Meth,Grade-A Methamphetamine 100g,3.544781 BTC,Switzerland
BlackMarket588,Drugs/Prescription/Adderall,Authentic Lab Adderall 1ct,2.787596 BTC,Switzerland
StealthPro162,Drugs/Ecstasy/MDMA,Crystal Lab MDMA 28g,1.909325 BTC,Worldwide
KingBoss990,Drugs/Prescription/Xanax,Pressed Verified Xanax 1ct,6.864615 BTC,Switzerland
AlphaStore132,Digital/Hacking,Hacked Tested Account,2.998391 BTC,Poland
KingKing458,Drugs/Cannabis/Edibles,Quality Quality Items 500ct,1.497647 BTC,India
VenomMarket709,Digital/Hacking,Verified Fullz,2.527089 BTC,India
UltraLab266,Drugs/Stimulants/Cocaine,Fishscale Grade-A Coke 5g,4.171199 BTC,Netherlands
SpeedMarket519,Drugs/Stimulants/Speed,Quality Quality Amphetamine 1g,2.168329 BTC,Germany
SilentVendor726,Drugs/Opioids/Heroin,High Quality Quality Heroin 2g,0.79151 BTC,UK
PharmaDirect770,Drugs/Cannabis/Edibles,Premium Verified Product 2g,1.156805 BTC,Switzerland
SpeedShop526,Drugs/Stimulants/Speed,Lab Speed Paste 10g,2.197748 BTC,Europe
AlphaMaster277,Drugs/Psychedelics/Mushrooms,Psilocybin Grade-A Mushrooms 100g,0.156661 BTC,Australia
SpeedMarket529,Drugs/Psychedelics/Mushrooms,Dried Tested Shrooms 100g,3.942799 BTC,Worldwide
SpeedShop526,Drugs/Stimulants/Cocaine,Premium Blow 10g,0.178547 BTC,China
UltraMarket470,Drugs/Psychedelics/DMT,Crystal Pure DMT 10g,7.804545 BTC,Netherlands
SilentBoss239,Drugs/Dissociatives/Ketamine,Research Grade Lab Ketamine 14g,5.871716 BTC,USA
BlueStore943,Drugs/Psychedelics/DMT,Extracted Pure DMT 7g,2.51773 BTC,Germany
VenomVendor269,Drugs/Cannabis/Edibles,Quality Premium Items 5ct,0.508299 BTC,Poland
SpeedVendor287,Drugs/Psychedelics/LSD,Pure Liquid LSD 10ml,2.578812 BTC,USA/Europe
DarkShop818,Digital/Hacking,Compromised Lab Database,1.88951 BTC,Netherlands
PharmaExpert186,Drugs/Cannabis/Hash,Quality Quality Items 500ct,2.03777 BTC,USA
GreenExpert605,Drugs/Ecstasy/MDMA,Pure Tested Molly 14g,3.860576 BTC,India
PharmaSource204,Drugs/Stimulants/Meth,Premium Lab Meth 14g,3.735282 BTC,Australia
EliteMaster689,Fraud/Documents,Fake Pure ID,0.378308 BTC,USA/Europe
PharmaDirect770,Drugs/Opioids/Fentanyl,Research Chemical Lab Fent 250g,2.361973 BTC,Belgium
DarkShop818,Drugs/Opioids/Oxycodone,Verified Percs 7ct,0.997608 BTC,Europe
PharmaDirect647,Drugs/Opioids/Fentanyl,Premium Fentanyl Powder 100g,3.148857 BTC,Poland
BlueStore943,Drugs/Stimulants/Speed,Quality Speed Paste 25g,7.44679 BTC,No Info
AlphaMaster277,Drugs/Cannabis/Weed,Verified Quantity 250g,1.879636 BTC,USA/Europe
PharmaExpert186,Drugs/Opioids/Oxycodone,Pure Percs 28ct,1.939833 BTC,UK
DarkShop818,Drugs/Ecstasy/MDMA,Verified Ecstasy Crystals 1g,2.482799 BTC,France
VenomLab764,Drugs/Ecstasy/MDMA,Crystal Premium MDMA 100g,1.365795 BTC,Spain
SpeedMarket519,Drugs/Stimulants/Meth,Premium Tested Meth 500g,2.284088 BTC,USA/Europe
EliteMaster689,Drugs/Prescription/Tramadol,Generic Premium Ultram 2ct,5.940793 BTC,Canada
PharmaDirect647,Drugs/Opioids/Heroin,Verified Heroin 100g,2.387344 BTC,Belgium
PharmaBoss522,Digital/Hacking,Hacked Lab Account,2.38774 BTC,France
EliteShop410,Drugs/Stimulants/Meth,Premium Pure Meth 250g,8.298667 BTC,UK
SwiftExpert794,Drugs/Psychedelics/Mushrooms,Psilocybin Pure Mushrooms 5g,2.56646 BTC,USA/Europe
AlphaVendor354,Drugs/Cannabis/Edibles,Premium Verified Product 7g,2.685188 BTC,USA
VenomVendor269,Drugs/Prescription/Adderall,Authentic Verified Adderall 2ct,0.504107 BTC,Switzerland
SpeedMarket529,Digital/Hacking,Hacked Verified Account,1.718943 BTC,Netherlands
CryptoDealer638,Drugs/Opioids/Oxycodone,Grade-A Percs 7ct,0.817888 BTC,USA
UltraLab266,Drugs/Opioids/Oxycodone,Authentic Premium Oxy 14ct,2.184521 BTC,Spain
SpeedVendor287,Drugs/Psychedelics/LSD,High-Dose Premium Tabs 250ct,3.343644 BTC,UK
VenomSource815,Drugs/Stimulants/Meth,Premium Grade-A Meth 1g,4.694298 BTC,Belgium
BlackExpert873,Drugs/Prescription/Tramadol,Quality Tramadol 500ct,3.683038 BTC,USA
DarkExpert536,Drugs/Opioids/Heroin,Brown Grade-A Dope 14g,2.415493 BTC,USA
AlphaDealer746,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 28g,1.155329 BTC,Switzerland
SwiftDealer556,Drugs/Opioids/Oxycodone,Authentic Premium Oxy 5ct,0.645918 BTC,France
AlphaStore132,Drugs/Prescription/Xanax,Lab Benzo 5ct,3.429851 BTC,France
VenomVendor269,Digital/Hacking,Hacked Lab Account,0.141319 BTC,Worldwide
GreenDealer162,Drugs/Ecstasy/MDMA,Pure Tested Molly 5g,1.471244 BTC,France
SpeedMarket529,Drugs/Cannabis/Hash,Quality Verified Items 250ct,8.13914 BTC,Switzerland
SwiftStore884,Drugs/Dissociatives/Ketamine,Tested K Powder 2g,0.449381 BTC,India
PureMarket96,Drugs/Prescription/Adderall,Authentic Verified Adderall 1ct,0.934495 BTC,Canada
CryptoDealer638,Fraud/Documents,Counterfeit Quality Passport,1.363205 BTC,Europe
UltraVendor891,Drugs/Cannabis/Hash,Quality Verified Items 100ct,3.063539 BTC,India
PureMarket224,Digital/Hacking,Hacked Verified Account,0.093584 BTC,Netherlands
SpeedDealer285,Drugs/Prescription/Adderall,Authentic Quality Adderall 25ct,0.442867 BTC,Canada
VenomLab714,Drugs/Psychedelics/LSD,Verified Liquid LSD 28ml,4.299506 BTC,Belgium
SilentMarket189,Digital/Hacking,Verified Fullz,1.953596 BTC,China
SwiftExpert794,Digital/Hacking,Verified Fullz,3.209366 BTC,Poland
KingKing458,Drugs/Cannabis/Edibles,Quality Pure Items 1ct,0.427402 BTC,Europe
StealthVendor191,Drugs/Opioids/Oxycodone,Grade-A Percs 14ct,3.770927 BTC,USA/Europe
ShadowVendor954,Drugs/Prescription/Tramadol,Generic Premium Ultram 14ct,1.555981 BTC,China
QuickPro135,Drugs/Cannabis/Hash,Quality Tested Items 10ct,1.016947 BTC,Poland
PharmaDirect770,Drugs/Dissociatives/Ketamine,Research Grade Tested Ketamine 7g,3.194558 BTC,Spain
KingDirect228,Drugs/Ecstasy/Pills,Verified Ecstasy Tabs 28ct,3.510403 BTC,Czech Republic
GhostLab755,Drugs/Prescription/Adderall,Premium Amphetamine Salts 100ct,3.495745 BTC,Netherlands
QuickDirect928,Digital/Hacking,Premium Fullz,3.427516 BTC,Belgium
SilentMaster997,Drugs/Psychedelics/Mushrooms,Quality Cubensis 28g,3.926216 BTC,UK
PharmaBoss522,Drugs/Opioids/Oxycodone,Quality Percs 2ct,3.433933 BTC,Europe
PureMarket224,Drugs/Cannabis/Edibles,Premium Quantity 28g,2.601878 BTC,Germany
PureMarket96,Drugs/Prescription/Tramadol,Generic Quality Ultram 28ct,5.640868 BTC,Worldwide
GreenDealer162,Drugs/Cannabis/Hash,Premium Premium Product 100g,1.86684 BTC,Canada
StealthVendor191,Drugs/Ecstasy/MDMA,Pure Pure Molly 250g,4.782251 BTC,USA/Europe
DeltaMarket608,Drugs/Ecstasy/MDMA,Pure Tested Molly 250g,5.937536 BTC,No Info
EliteMaster689,Drugs/Prescription/Tramadol,Tested Tramadol 28ct,3.274731 BTC,Worldwide
UltraMarket470,Drugs/Cannabis/Hash,Premium Lab Product 14g,2.111706 BTC,Australia
EliteDealer235,Digital/Hacking,Compromised Quality Database,3.821719 BTC,Germany
UltraDirect809,Drugs/Cannabis/Hash,Tested Quantity 2g,0.206491 BTC,Australia
BlueStore78,Drugs/Ecstasy/Pills,Blue Quality Press 7ct,2.509584 BTC,China
DeltaMarket608,Drugs/Prescription/Adderall,Authentic Lab Adderall 500ct,1.046566 BTC,UK
AlphaDirect701,Drugs/Psychedelics/Mushrooms,Psilocybin Quality Mushrooms 7g,5.637611 BTC,USA
GreenDealer162,Drugs/Stimulants/Speed,Crystal Quality Speed 50g,0.936468 BTC,UK
OmegaDirect105,Drugs/Prescription/Xanax,Quality Benzo 5ct,4.177091 BTC,Worldwide
EliteDealer235,Drugs/Cannabis/Hash,Quality Quantity 7g,1.976998 BTC,Switzerland
AlphaMaster277,Drugs/Opioids/Oxycodone,Authentic Tested Oxy 100ct,0.945954 BTC,No Info
BlackBoss982,Drugs/Opioids/Heroin,High Quality Pure Heroin 250g,4.071924 BTC,Switzerland
BlueStore78,Fraud/Documents,Premium License Replica,0.453155 BTC,Canada
BlueStore943,Drugs/Opioids/Oxycodone,Authentic Tested Oxy 50ct,3.191959 BTC,Germany
UltraLab620,Drugs/Prescription/Xanax,Pressed Tested Xanax 250ct,2.034988 BTC,Germany
RedLab835,Drugs/Psychedelics/LSD,Premium LSD Blotters 50ct,2.010215 BTC,Poland
UltraSource684,Drugs/Opioids/Fentanyl,Verified Fentanyl Powder 7g,3.462746 BTC,Czech Republic
UltraVendor891,Drugs/Opioids/Fentanyl,Research Chemical Tested Fent 28g,2.10961 BTC,Australia
PharmaDirect647,Drugs/Prescription/Tramadol,Generic Grade-A Ultram 1ct,7.474209 BTC,Belgium
DarkBoss582,Drugs/Dissociatives/Ketamine,Research Grade Verified Ketamine 100g,5.507185 BTC,Poland
BlackExpert873,Drugs/Opioids/Oxycodone,Grade-A Percs 14ct,2.970775 BTC,No Info
BlackExpert873,Fraud/Documents,Fake Tested ID,2.454311 BTC,Europe
UltraMarket470,Digital/Hacking,Hacked Grade-A Account,1.33954 BTC,Czech Republic
UltraSource684,Drugs/Dissociatives/Ketamine,Grade-A K Powder 2g,2.565405 BTC,Canada
EliteMaster689,Drugs/Stimulants/Meth,Grade-A Methamphetamine 2g,2.406258 BTC,No Info
VenomLab714,Drugs/Dissociatives/Ketamine,Lab K Powder 50g,1.880734 BTC,China
KingKing458,Drugs/Prescription/Xanax,Pressed Tested Xanax 7ct,5.622804 BTC,USA
UltraDirect809,Digital/Hacking,Hacked Grade-A Account,1.927105 BTC,Belgium
StealthShop752,Drugs/Stimulants/Cocaine,High Purity Lab Cocaine 2g,3.055297 BTC,France
VenomSource928,Drugs/Stimulants/Speed,Quality Tested Amphetamine 100g,2.379796 BTC,Belgium
GhostLab755,Drugs/Psychedelics/DMT,Extracted Grade-A DMT 7g,3.881665 BTC,Worldwide
SpeedMarket519,Drugs/Opioids/Fentanyl,Premium Fentanyl Powder 50g,1.658579 BTC,Poland
RedMarket810,Drugs/Psychedelics/LSD,Grade-A LSD Blotters 2ct,4.671851 BTC,Netherlands
DeltaMarket608,Drugs/Opioids/Oxycodone,Lab Percs 25ct,3.104739 BTC,Australia
StealthPro162,Drugs/Opioids/Fentanyl,Pure Fentanyl Powder 5g,1.541603 BTC,USA
KingKing458,Drugs/Cannabis/Weed,Quality Quantity 28g,2.649013 BTC,Germany
VenomMarket709,Digital/Hacking,Compromised Lab Database,0.114691 BTC,Belgium
VenomSource928,Drugs/Dissociatives/Ketamine,Lab K Powder 14g,4.226692 BTC,USA/Europe
PharmaDirect770,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 5g,4.092475 BTC,India
StealthShop752,Drugs/Psychedelics/Mushrooms,Psilocybin Grade-A Mushrooms 500g,3.175228 BTC,Australia
RedLab835,Drugs/Cannabis/Edibles,Premium Tested Product 5g,0.997339 BTC,Australia
KingKing458,Drugs/Cannabis/Edibles,Quality Lab Items 7ct,3.535096 BTC,UK
VenomLab714,Digital/Hacking,Compromised Verified Database,1.038506 BTC,Australia
StealthVendor191,Drugs/Opioids/Heroin,Verified Heroin 5g,1.414107 BTC,Australia
PharmaDirect770,Drugs/Prescription/Xanax,Authentic Tested Xanax 250ct,3.649541 BTC,China
BluePro475,Drugs/Psychedelics/Mushrooms,Dried Tested Shrooms 50g,2.357937 BTC,Netherlands
VenomVendor269,Drugs/Opioids/Heroin,Brown Tested Dope 250g,2.473463 BTC,Worldwide
BlueStore78,Drugs/Opioids/Oxycodone,Authentic Verified Oxy 50ct,2.055061 BTC,Poland
SecureBoss844,Drugs/Cannabis/Hash,Premium Grade-A Product 7g,1.820251 BTC,China
SilentPro922,Drugs/Cannabis/Weed,Grade-A Quantity 2g,4.943668 BTC,Spain
BlackBoss982,Drugs/Ecstasy/MDMA,Premium Ecstasy Crystals 100g,1.046402 BTC,No Info
UltraLab266,Drugs/Stimulants/Meth,Quality Methamphetamine 25g,1.676794 BTC,USA/Europe
UltraSource684,Drugs/Stimulants/Meth,Ice Quality Crystal 7g,1.153215 BTC,Czech Republic
GreenDealer162,Drugs/Psychedelics/Mushrooms,Psilocybin Verified Mushrooms 2g,4.712314 BTC,India
QuickKing639,Fraud/Documents,Premium License Replica,3.938018 BTC,UK
BluePro475,Drugs/Psychedelics/Mushrooms,Dried Pure Shrooms 7g,2.758796 BTC,Spain
VenomLab764,Drugs/Psychedelics/DMT,Premium Spice 10g,1.106922 BTC,Germany
